title,year,desc,cast,director,genres,rating
The Super Mario Bros. Movie,2023,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Chris Pratt, Charlie Day, Anya Taylor-Joy, Jack Black","Michael Jelenic, Aaron Horvath","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",PG-13
PAW Patrol: The Mighty Movie,2023,"When a magical meteor crash lands in Adventure City, it gives the PAW Patrol pups superpowers, transforming them into The MIGHTY PUPS. For Skye, the smallest member of the team, her new powers are a dream come true. But things take a turn for the worse when the pups' archival Humdinger breaks out of jail and teams up with a mad scientist to steal the superpowers for the two villains. With the fate of Adventure City hanging in the balance, the Mighty Pups have to stop the supervillains before it's too late,and Skye will need to learn that even the smallest pup can make the biggest difference.","Mckenna Grace, Taraji P. Henson, Marsai Martin, Christian Convery",Cal Brunker,"['Action', 'Adventure', 'Animation', 'Family']",PG
Elemental,2023,"In a city where fire, water, land, and air residents live together, a fiery young woman and a go-with-the-flow guy are about to discover something elemental: How much they actually have in common.","Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi",Peter Sohn,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",PG
Spider-Man: Across the Spider-Verse,2023,"Miles Morales returns for the next chapter of the Spider-Verse saga, an epic adventure that will transport Brooklyn’s full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson","Joaquim Dos Santos, Justin K. Thompson, Kemp Powers","['Animation', 'Action', 'Adventure']",PG
Guardians of the Galaxy Vol. 3,2023,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","Chris Pratt, Zoe Saldaña, Bradley Cooper, Dave Bautista",James Gunn,"['Action', 'Adventure', 'Comedy']",PG-13
The Martian,2015,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Ridley Scott,"['Adventure', 'Drama', 'Sci-Fi']",PG-13
The Goonies,1985,"Kids find a treasure map and go searching for pirate's booty in a subterranean cavern, but they run into a band of outlaws and their ringleader, whose soft-hearted son comes to the kids' rescue.","Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman",Richard Donner,"['Adventure', 'Comedy', 'Family']",PG
Interstellar,2014,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine",Christopher Nolan,"['Adventure', 'Drama', 'Sci-Fi']",PG-13
The Matrix,1999,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",Lilly Wachowski,"['Action', 'Sci-Fi']",R
"The Chronicles Of Narnia: The Lion, The Witch and The Wardrobe",2005,"C.S. Lewis's beloved fantasy novels come to life in this enchanting adventure, which features scenes not shown in theaters. It's the tale of four British children who enter a magical world, where they befriend wondrous creatures and battle a witch (Tilda Swinton). Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell. Directed by Andrew Adamson.","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",Andrew Adamson,"['Adventure', 'Family', 'Fantasy']",PG
